user,song,play_count,title,release,artist_name,year,genre,tempo 
8fce200f3912e9608e3b1463cdb9c3529aab5c08,SONYKOW12AB01849C9,1,Secrets,Waking Up,OneRepublic,2009,Pop Rock,120
8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOOHCLI12A6D4FBFE2,2,Sillyworld (Album Version),Come What[ever] May,Stone Sour,2006,Alternative Rock,150
8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOOYPTY12A6D4F7D8A,1,Ici Ou Ailleurs,La Dernière Année,De Palmas,1994,French Pop,95
8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOPWKOX12A8C139D43,1,Genius,Youth & Young Manhood,Kings Of Leon,2003,Garage Rock,130
8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOPWKOX12A8C139D43,1,Genius,Youth And Young Manhood,Kings Of Leon,2003,Garage Rock,130
8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOPYCMI12AB01849DF,1,Marchin On,Waking Up,OneRepublic,2009,Pop Rock,115
8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOQOXDM12A8C137FB0,1,Cemeteries Of London,Viva La Vida Or Death And All His Friends,Coldplay,2008,Art Rock,105
8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOSDTGC12AF72A2BC3,1,Chinese,"It's Not Me, It's You",Lily Allen,2009,Electropop,125
8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOSDTGC12AF72A2BC3,1,Chinese,"It's Not Me, It's You",Lily Allen,2009,Electropop,125
8fce200f3912e9608e3b1463cdb9c3529aab5c08,SOSJJEE12A8AE48C94,1,Woke Up This Morning (Album Version),Silver Side Up,Nickelback,2001,Post-Grunge,140
